query_id,split,source_row,document_url,question,relevant_passages,candidate_count
nq-0008da4a6cacce3f,validation,6168,https://en.wikipedia.org//w/index.php?title=Claire_Holt&amp;oldid=821287389,who played emma in h2o just add water,15,48
nq-001f67bedf728dd6,validation,1600,https://en.wikipedia.org//w/index.php?title=Kick-off_(association_football)&amp;oldid=809482705,who kicks the ball first to start a football game,1,9
nq-003f4f54cf0cdcf0,validation,656,https://en.wikipedia.org//w/index.php?title=Draining_and_development_of_the_Everglades&amp;oldid=827475511,what were the results of the development of florida's railroads,1,51
nq-004c31f27df64ecd,validation,163,https://en.wikipedia.org//w/index.php?title=List_of_Max_Steel_(2013)_episodes&amp;oldid=805676362,will there be a max steel season 2,1,138
nq-00583cb98b4c5867,validation,4118,https://en.wikipedia.org//w/index.php?title=Statue_of_Liberty&amp;oldid=821440375,where was the statue of liberty originally built,38;56,139
nq-007214f23549e1a2,validation,5277,https://en.wikipedia.org//w/index.php?title=List_of_The_Next_Step_episodes&amp;oldid=822289380,when does season 6 of the next step start,3,343
nq-007d6437a90617cf,validation,1445,https://en.wikipedia.org//w/index.php?title=List_of_The_Next_Step_episodes&amp;oldid=837737769,when is the next step season 3 coming out,4;150,337
nq-0081ee47832010f0,validation,3578,https://en.wikipedia.org//w/index.php?title=Life_of_Pi&amp;oldid=822164300,what is the tigers name in life of pi,13,48
nq-008ba4327c446eb2,validation,5250,https://en.wikipedia.org//w/index.php?title=European_colonization_of_the_Americas&amp;oldid=822173061,who were the first non native settlers in the us,12,151
nq-0099fc99935793bd,validation,3321,https://en.wikipedia.org//w/index.php?title=Category:Hotel_types&amp;oldid=766350044,what are three different types of hotel properties,4,24
nq-009db7f703db7a73,validation,6731,https://en.wikipedia.org//w/index.php?title=Ride-along&amp;oldid=766107308,can i do a ride along with a police officer,1,17
nq-00aa9bc712048d22,validation,4692,https://en.wikipedia.org//w/index.php?title=Spanish_conquest_of_the_Inca_Empire&amp;oldid=815578696,who led the conquest of the incas in south america,143,226
nq-00b1ff738376cc28,validation,7280,https://en.wikipedia.org//w/index.php?title=International_rankings_of_India&amp;oldid=837368060,what is the rank of india in economic growth,52,249
nq-00b7a95f2e75bfb7,validation,2669,https://en.wikipedia.org//w/index.php?title=United_States_customary_units&amp;oldid=838195590,what kind of metric system does the us use,1,162
nq-00c7afe32c82fd78,validation,1885,https://en.wikipedia.org//w/index.php?title=Superpower&amp;oldid=819474002,what made the united states and the soviet union emerge from the war as superpowers,7,36
nq-010b27ed4338da25,validation,130,https://en.wikipedia.org//w/index.php?title=Conscription_in_the_United_States&amp;oldid=837083052,when was the last time the military drafted,7;61,104
nq-010bd1a732a13fb4,validation,2651,https://en.wikipedia.org//w/index.php?title=Coming_to_America&amp;oldid=837573310,who played the jewish man in coming to america,31;32,90
nq-010d90acb0c2789e,validation,1295,https://en.wikipedia.org//w/index.php?title=List_of_polygons&amp;oldid=832651067,what is the name of the shape with 100 sides,104,226
nq-01194f309e76863e,validation,5657,https://en.wikipedia.org//w/index.php?title=Democratic_National_Convention&amp;oldid=803533535,who selects the delegates that attend the national conventions,21,23
nq-0131addd76047ed5,validation,2065,https://en.wikipedia.org//w/index.php?title=Moscow_Kremlin&amp;oldid=838359034,what was the original purpose of the kremlin,19,49
nq-013414003ac446ce,validation,2804,https://en.wikipedia.org//w/index.php?title=List_of_circuses_and_circus_owners&amp;oldid=797037096,how many circuses are there in the uk,1,149
nq-014a72cb45f44fc2,validation,6444,https://en.wikipedia.org//w/index.php?title=Lotta_Love&amp;oldid=816045647,who wrote it's gonna take a lot of love,32,64
nq-01646d97be49fe4f,validation,1477,"https://en.wikipedia.org//w/index.php?title=Solar_eclipse_of_August_21,_2017&amp;oldid=807052172",when does the eclipse end in the us,22,265
nq-0171c1ae0d1be86b,validation,1483,https://en.wikipedia.org//w/index.php?title=Printing_press&amp;oldid=832353244,who developed the first printing press in 1430s,34,81
nq-01723e66e268b37a,validation,7597,https://en.wikipedia.org//w/index.php?title=Graveyard_Shift_(SpongeBob_SquarePants)&amp;oldid=827281552,which episode of spongebob is the hash slinging slasher,17;19,25
nq-017359dfb5e42f80,validation,2038,https://en.wikipedia.org//w/index.php?title=Gotham_by_Gaslight&amp;oldid=833015857,whos jack the ripper in gotham by gaslight,29,57
nq-01b9f9734750c710,validation,3688,https://en.wikipedia.org//w/index.php?title=Letter_and_spirit_of_the_law&amp;oldid=795439256,the letter of the law versus the spirit of the law,2,16
nq-01c0db3d0622608b,validation,2945,https://en.wikipedia.org//w/index.php?title=The_Adventures_of_Rocky_and_Bullwinkle_and_Friends_(TV_series)&amp;oldid=807011426,who owns the rights to rocky and bullwinkle,64,172
nq-01c938e394dae0aa,validation,6237,https://en.wikipedia.org//w/index.php?title=National_Football_League_Draft&amp;oldid=838427133,who picks the players in the nfl draft,46;56;58,133
nq-01daec0309ea071f,validation,7030,https://en.wikipedia.org//w/index.php?title=DNA_replication&amp;oldid=838242893,where does the synthesis of new dna from existing dna occurs,2,61
